"filename", "language", "Markdown", "Batch", "YAML", "JSON with Comments", "JSON", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Codez\Nexus\Reach2\context-core\README-MORE.md", "Markdown", 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 504
"d:\Codez\Nexus\Reach2\context-core\README.MD", "Markdown", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 344
"d:\Codez\Nexus\Reach2\context-core\compose.yaml", "YAML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Codez\Nexus\Reach2\context-core\server\README.md", "Markdown", 413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 519
"d:\Codez\Nexus\Reach2\context-core\server\bun.lock", "JSON with Comments", 0, 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 201, 441
"d:\Codez\Nexus\Reach2\context-core\server\interop\insomnia-context-core.json", "JSON", 0, 0, 0, 0, 735, 0, 0, 0, 0, 0, 0, 0, 0, 735
"d:\Codez\Nexus\Reach2\context-core\server\interop\insomnia-context-master.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 14, 148
"d:\Codez\Nexus\Reach2\context-core\server\package.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Codez\Nexus\Reach2\context-core\server\src\ContextCore.ts", "TypeScript", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 80, 56, 581
"d:\Codez\Nexus\Reach2\context-core\server\src\agentBuilder\AgentBuilder.ts", "TypeScript", 0, 0, 0, 0, 0, 739, 0, 0, 0, 0, 0, 131, 113, 983
"d:\Codez\Nexus\Reach2\context-core\server\src\analysis\SubjectGenerator.ts", "TypeScript", 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 76, 39, 394
"d:\Codez\Nexus\Reach2\context-core\server\src\analysis\TopicContextBuilder.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 38, 22, 184
"d:\Codez\Nexus\Reach2\context-core\server\src\analysis\TopicSummarizer.ts", "TypeScript", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 51, 45, 368
"d:\Codez\Nexus\Reach2\context-core\server\src\cache\ResponseCache.ts", "TypeScript", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 67, 22, 230
"d:\Codez\Nexus\Reach2\context-core\server\src\cli\discovery.ts", "TypeScript", 0, 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 6, 31, 457
"d:\Codez\Nexus\Reach2\context-core\server\src\cli\tests\add.integration.test.ts", "TypeScript", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 10, 124
"d:\Codez\Nexus\Reach2\context-core\server\src\cli\tests\ccjson.paths.test.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 13, 107
"d:\Codez\Nexus\Reach2\context-core\server\src\cli\tests\cxccli.interactive.test.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Codez\Nexus\Reach2\context-core\server\src\cli\tests\cxccli.mutations.test.ts", "TypeScript", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 21, 168
"d:\Codez\Nexus\Reach2\context-core\server\src\cli\tests\cxccli.vscode.integration.test.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
